Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL IZAIRA MACHADO DE FREITAS CAMARGO,52046850,GO,Formosa,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA H, S/N QUADRA 105. PARQUE DA COLINA I. 73808-068 Formosa - GO.",,Municipal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,-15.5328498,-47.3126043
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC MUL LIAOZINHO,52046877,GO,Formosa,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA CIRCULAR, S/N ABREU. 73803-035 Formosa - GO.",,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.5480484,-47.3450585
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL PROFESSORA MARIA DAS DORES BARBOSA DE QUEIROZ,52046885,GO,Formosa,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA 21, 56/7 PARQUE VILA VERDE. 73808-395 Formosa - GO.",(61) 996336720,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,-15.548225,-47.3134864
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC MUL MADALENA MENDES NESSRALLA,52046893,GO,Formosa,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA BOLIVIA, SN JARDIM DAS AMERICAS. 73803-316 Formosa - GO.",(61) 999164258,Municipal,Não Informado,Não,Não,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,-15.5469326,-47.3488747
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC MUL PROFESSORA MARGARIDA DE SOUSA LOBO,52046907,GO,Formosa,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA H, S/Nº VILLAGE. 73814-555 Formosa - GO.",(61) 996220234,Municipal,Não Informado,Não,Em Tramitação,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,-15.1947359,-47.4388455
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC MUL MARILEILA ALVES DOS SANTOS,52046923,GO,Formosa,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA 1, S/N SAO BENEDITO. 73813-601 Formosa - GO.",(61) 998705979,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,-15.5639667,-47.3333235
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL ISOLADA FAZENDA PALMEIRA,52046931,GO,Formosa,Rural,Área de assentamento,Pública,"AREA RURAL, ASSENTAMENTO PALMEIR. AREA RURAL DE FORMOSA. 73816-899 Formosa - GO.",(61) 999218413,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,,
ESCOLA PARALISADA,ESCOLA MUNICIPAL FAZENDA PARANAGUA,52046940,GO,Formosa,Rural,Não Informado,Pública,"PRACA RUI BARBOSA, CENTRO. 73801-220 Formosa - GO.",,Municipal,Não Informado,Não,,,,,,
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL PEDRO CHAVES FILHO,52046958,GO,Formosa,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA 9, 79 JARDIM OLIVEIRA. 73805-286 Formosa - GO.",(61) 36319452,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.5401847,-47.3497098
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC MUL PROF AUTA VIDAL,52046966,GO,Formosa,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA 10, SETOR NORDESTE. 73807-305 Formosa - GO.",(61) 999499239,Municipal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,-15.53015173,-47.32998412
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CENTRO DE ENSINO EM PERIODO INTEGRAL HELENA NASSER,52046974,GO,Formosa,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA 23 COM AV A RUA 22 RUA G QD 80 PARQUE DA COLINA, SN PARQUE DA COLINA. 73808-860 Formosa - GO.",,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-15.5436585,-47.2938273
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC MUL PROF JOAQUIM MOREIRA,52046982,GO,Formosa,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA JOAO ISPER GEBRIM, S/Nº FORMOSINHA. 73813-210 Formosa - GO.",(61) 996632774,Municipal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos",,-15.5479493,-47.3303059
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC MUL PROF YANNIE DO PRADO OPPA,52046990,GO,Formosa,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA 7, SN SETOR IMPERATRIZ. 73805-435 Formosa - GO.",(61) 999687094,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,-15.5317653,-47.3490041
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ESTADUAL ARTHUR RIBEIRO DE MAGALHAES FILHO,52047059,GO,Formosa,Rural,A escola não está em área de localização diferenciada,Pública,"RUA DA IGREJA, SN DISTRITO JK. CENTRO. 73818-000 Formosa - GO.",(61) 996066695,Estadual,Não Informado,Não,Em Tramitação,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-15.21484,-47.15462
ESCOLA PARALISADA,ESC MUL FAZENDA ALAGAMAR,52047091,GO,Formosa,Rural,Não Informado,Pública,"PRACA RUI BARBOSA, CENTRO. 73801-220 Formosa - GO.",,Municipal,Não Informado,Não,,,,,,
ESCOLA PARALISADA,ESC MUL ANA RIBEIRO DE FREITAS,52047105,GO,Formosa,Rural,Não Informado,Pública,"PRACA RUI BARBOSA, CENTRO. 73801-220 Formosa - GO.",,Municipal,Não Informado,Não,,,,,,
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL PROFESSOR VICENTE ANTONIO D ABADIA,52047121,GO,Formosa,Rural,A escola não está em área de localização diferenciada,Pública,"PRACA RUI BARBOSA, POVOADO. CENTRO. 73801-220 Formosa - GO.",(61) 36423885,Municipal,Não Informado,Não,Sim,Até 50 matrículas de escolarização,Ensino Fundamental,,-15.5483136,-47.3468661
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ESTADUAL PROFESSORA AURELICE GOMES DA FONSECA,52047148,GO,Formosa,Rural,A escola não está em área de localização diferenciada,Pública,"RUA SAO MIGUEL C GO 458 LOTES 112, SN CENTRO. 73819-000 Formosa - GO.",,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-15.0929133,-47.1838236
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CENTRO MUNICIPAL DE EDUCACAO BASICA MARIA DE NONDAS,52047156,GO,Luziânia,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA CRISTALINA QUADRA 18, ENGENHEIRO JOFRE PARADA. 72811-300 Luziânia - GO.",(61) 991966493,Municipal,Não Informado,Não,Em Tramitação,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-16.2492375,-47.9646709
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL CAIC TANCREDO DE ALMEIDA NEVES,52047164,GO,Valparaíso de Goiás,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA QUADRA 1 E 2 AREA ESPECIAL S/N, JARDIM CEU AZUL. 72870-133 Valparaíso de Goiás - GO.",(61) 981865751,Municipal,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,-16.059161,-47.9863236
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CAIC NOVO GAMA,52047172,GO,Novo Gama,Urbana,A escola não está em área de localização diferenciada,Pública,"AREA ESPECIAL QUADRA 579, S NOVO GAMA. 72860-542 Novo Gama - GO.",(61) 36085298,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-16.0685482099344,-48.0337584246411
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CENTRO EDUCACIONAL BALAO MAGICO LTDA,52047180,GO,Valparaíso de Goiás,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA QUADRA 19, 2/4 VALPARAISO I - ETAPA A. 72876-057 Valparaíso de Goiás - GO.",(61) 36272809,Privada,Particular,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-16.06877,-47.97868
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ESTADUAL NOVO GAMA,52047202,GO,Novo Gama,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA PERIMETRAL 1 HI, SN CENTRAL. 72860-145 Novo Gama - GO.",(61) 36284006,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos",,-16.05468581,-48.03444031
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ESTADUAL PROFESSOR ANTONIO VALDIR RORIZ,52047210,GO,Luziânia,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA MUNICIPAL, SN 1 ANDAR. CENTRO. 72800-450 Luziânia - GO.",,Estadual,Não Informado,Não,Não,Mais de 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",,-16.2551967,-47.9570931
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CENTRO DE ENSINO EM PERIODO INTEGRAL VALPARAISO,52047229,GO,Valparaíso de Goiás,Urbana,A escola não está em área de localização diferenciada,Pública,"PRACA CENTRAL, ETAPA A. VALPARAISO I. 72876-030 Valparaíso de Goiás - GO.",(61) 36271859,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Médio,,-16.0706178,-47.98100861
ESCOLA PARALISADA,CENTRO EDUCACIONAL PAULO DE TARSO,52047237,GO,Novo Gama,Urbana,Não Informado,Privada,"QUADRA QUADRA 482, LOTES24/25 PARQUE ESTRELA DALVA VI PEDREGAL. 72860-445 Novo Gama - GO.",(61) 36282962,Privada,Não Informado,Não,,,,,-16.05333,-48.02977
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO SANTA LUZIA LTDA,52047245,GO,Luziânia,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA ALVORADA, QUADRA 1, LOT. 1/14. ROSARIO. 72812-040 Luziânia - GO.",(61) 36212456,Privada,Particular,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-16.25081,-47.94641
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CVO INTERATIVO,52047253,GO,Luziânia,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA ABILIO GUIMARAES, SETOR PRESIDENTE KENNEDY. 72810-510 Luziânia - GO.",(61) 36212303,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,,
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ESTADUAL PROFESSOR ANTONIO MARCO DE ARAUJO,52047270,GO,Luziânia,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA SANTIAGO DANTAS, AREA ESPECIAL. PQESTRELA DALVA. 72820-090 Luziânia - GO.",(61) 36203583,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-16.25115359,-47.91001338
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ESTADUAL ALMIRANTE TAMANDARE,52047288,GO,Valparaíso de Goiás,Urbana,A escola não está em área de localização diferenciada,Pública,"ENTRE QUADRAS 41 43 AREA ESPECIAL, SN VALPARAIZO I ETAPA B. 72876-130 Valparaíso de Goiás - GO.",(61) 991635352,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",,-16.0676305,-47.9712275
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CENTRO DE ENSINO EM PERIODO INTEGRAL DESEMBARGADOR DILERMANDO MEIRELES,52047300,GO,Valparaíso de Goiás,Urbana,A escola não está em área de localização diferenciada,Pública,"QD15 ETAPA C, SN VALPARAIZO I. 72876-970 Valparaíso de Goiás - GO.",(61) 981367930,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-16.07769833,-47.97167667
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ESTADUAL PROFESSORA MARIA PEREIRA VASCONCELOS,52047318,GO,Luziânia,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA 92 QD 256 LOTE A, SN JARDIM INGA. PQ ESTRELA DALVA IX. 72853-256 Luziânia - GO.",(61) 36232788,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",,-16.1555704,-47.95824705
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO SANTO ANTONIO,52047369,GO,Valparaíso de Goiás,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA 4 CHACARA 56, 56 ETAPA B. YPIRANGA. 72879-333 Valparaíso de Goiás - GO.",(61) 36273516,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,,
ESCOLA PARALISADA,COMPLEXO EDUCACIONAL DO PLANALTO,52047393,GO,Valparaíso de Goiás,Urbana,Não Informado,Privada,"RUA 11 LOTES 13 E, 14 QUADRA 30. MORADA NOBRE. 72870-366 Valparaíso de Goiás - GO.",(61) 36691335,Privada,Não Informado,Não,,,,,,
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA DINAMICA DE LUZIANIA,52047423,GO,Luziânia,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA JOSE DE MELO, 26 CENTRO. 72800-220 Luziânia - GO.",(61) 996611575,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-16.25579,-47.94905
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ESTADUAL ALCEU DE ARAUJO RORIZ,52047431,GO,Luziânia,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DR JOAO TEIXEIRA, CENTRO. 72800-440 Luziânia - GO.",(61) 36221170,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-16.25397127,-47.95773583
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ESTADUAL CONEGO RAMIRO,52047458,GO,Luziânia,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JOAO BRAZ, CENTRO. 72800-080 Luziânia - GO.",(61) 36224903,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-16.2550506,-47.95421374
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ESTADUAL EPAMINONDAS RORIZ,52047474,GO,Luziânia,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA CEL ANTONIO CARNEIRO, 321 1 ANDAR. CENTRO. 72800-200 Luziânia - GO.",(61) 96959857,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-16.25598019,-47.95093125
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ESTADUAL ILIDIO DE SOUZA LEMOS,52047482,GO,Luziânia,Rural,A escola não está em área de localização diferenciada,Pública,"DISTRITO DE MANIRATUBA, ZONA RURAL. MANIRATUBA. 72800-370 Luziânia - GO.",(61) 998621768,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-16.8149619,-48.0292412
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CENTRO DE ENSINO EM PERIODO INTEGRAL ANTONIA CHAVES DAS DORES DONA NICA,52047490,GO,Novo Gama,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA PERIMETRAL 1 HI, SN NOVO GAMA. 72860-001 Novo Gama - GO.",(61) 986233187,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-16.05406773,-48.0339244
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ESTADUAL PADRE DARIO DE ROMEDIS,52047504,GO,Luziânia,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA DOUTOR NEILOR ROLIM, QD 69 LT 1719. PQ ALVORADA I. 72836-330 Luziânia - GO.",(61) 996365144,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-16.20779471,-47.92635002
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ESTADUAL POSTO IPE,52047512,GO,Luziânia,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA CEARA QD10 LT12, SN JARDIM JOCKEY CLUBE. 72850-750 Luziânia - GO.",(61) 36295383,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",,-16.1273564,-47.9653553
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ESTADUAL PROFESSOR JOSUE MEIRELES,52047520,GO,Luziânia,Urbana,A escola não está em área de localização diferenciada,Pública,"PRACA EVANGELINO MEIRELES, 234 CENTRO. 72800-680 Luziânia - GO.",(61) 36211203,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-16.25212667,-47.950215
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ESTADUAL PROFESSOR JOSE CARNEIRO FILHO,52047539,GO,Luziânia,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA 41 QUADRA 136 LOTES 131415, MANSOES RECREIO. SOL NASCENTE. 72809-220 Luziânia - GO.",(61) 36206286,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-16.17819109,-47.93867223
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ESTADUAL PROFESSORA LOURDES DE OLIVEIRA SAMPAIO,52047547,GO,Luziânia,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA MIGUEL REALE QUADRA 71LTES 03 A 09 E 18 A 24, SN PQESTRELA DALVA. 72804-190 Luziânia - GO.",,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",,-16.25145048,-47.92557487
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ESTADUAL PROFESSOR BENEDITO VIEIRA DE SA,52047555,GO,Novo Gama,Urbana,A escola não está em área de localização diferenciada,Pública,"AREA SS1, JD LAGO AZUL. 72865-131 Novo Gama - GO.",(61) 36144678,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos",,-16.09511093,-48.07286539
ESCOLA PARALISADA,ESCOLA MUNICIPAL PALMAS,52047601,GO,Novo Gama,Rural,Não Informado,Pública,"QUADRA, 72865-120 Novo Gama - GO.",(61) 36282324,Municipal,Não Informado,Não,,,,,,
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL ANDRE ROCHAIS,52047610,GO,Luziânia,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA SARA KUBITSCHEK, PARQUE JK. 72815-450 Luziânia - GO.",(61) 91539111,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-16.2402297,-47.9430654
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL CASINHA FELIZ,52047644,GO,Valparaíso de Goiás,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA 79 QUADRA 124/129, S/Nº AREA ESPECIAL. PACAEMBU. 72872-379 Valparaíso de Goiás - GO.",,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-16.08950833,-48.01861167
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL CEU AZUL,52047660,GO,Valparaíso de Goiás,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA 102 QUADRA 115 AREA ESPECIAL, SN I ETAPA. JARDIM CEU AZUL. 72871-102 Valparaíso de Goiás - GO.",(61) 36245629,Municipal,Não Informado,Não,Em Tramitação,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,-16.0541928,-48.0084467
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL CARLOS ALBERTO BRANDAO FERREIRA,52047679,GO,Luziânia,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ELISEU DE MELO Q M N J LOTE 01, SETOR FUMAL. 72801-570 Luziânia - GO.",(61) 36226921,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-16.2674697,-47.9549096
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC MUL DELFINO MEIRELES,52047687,GO,Novo Gama,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA 105 LOTE 06, LAGO AZUL. 72865-105 Novo Gama - GO.",,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,-16.09449093,-48.0737106
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL LEOLINO DE JESUS SOARES,52047695,GO,Valparaíso de Goiás,Urbana,A escola não está em área de localização diferenciada,Pública,"AREA ESPECIAL SEM NUMERO QUADRA DE 04/07, VALPARAISO II. VALPARAISO II. 72870-104 Valparaíso de Goiás - GO.",(61) 36297218,Municipal,Não Informado,Não,Em Tramitação,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,-16.07413167,-47.99318
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL FRANCISCO VIEIRA LINS NALDO,52047709,GO,Luziânia,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA 22 QUADRA 269, S/N AREA ESPECIAL. PARQUE ESTRELA DALVA IV. 72821-210 Luziânia - GO.",(61) 996803337,Municipal,Não Informado,Não,Em Tramitação,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,,-16.2597735,-47.9125174
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL DONA GENI DA COSTA AFONSO,52047717,GO,Luziânia,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA QUADRA 256, LOTE B. PARQUE ESTRELA DALVA IX. 72853-256 Luziânia - GO.",(61) 36230668,Municipal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-16.1557507,-47.9579343
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL ESTRELA DALVA VI,52047725,GO,Novo Gama,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA 229, 010 QUADRA 567 LOTE 10. PEDREGAL. 72860-430 Novo Gama - GO.",(61) 36285073,Municipal,Não Informado,Não,Em Tramitação,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-16.06854904,-48.03274076
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CENTRO MUNICIPAL DE EDUCACAO INFANTIL PEDREGAL,52047733,GO,Novo Gama,Urbana,A escola não está em área de localização diferenciada,Pública,"AREA ESPECIAL, QD 717 LT AB. PEDREGAL. 72860-681 Novo Gama - GO.",(61) 36285178,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-16.0865740058944,-48.0377576965839
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC MUL BELA VISTA,52047741,GO,Novo Gama,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA 620 AREA ESPECIAL, SN PEDREGAL. 72860-583 Novo Gama - GO.",(61) 36285074,Municipal,Não Informado,Não,Em Tramitação,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,"Atendimento Educacional Especializado, Atividade Complementar",-16.0760549,-48.03349669
