CNES,RAZAO_SOCIAL,NOME_FANTASIA,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,CEP,TELEFONE,EMAIL,CODIGO_IBGE,POSSUI_VINCULO_SUS,TIPO_UNIDADE,TIPO_ESTABELECIMENTO,LATITUDE,LONGITUDE
5254442,CLINICA DE FISIOTERAPIA E ESTETICA SANTA HELENA LTDA,CLINICA DE FISIOTERAPIA E ESTETICA,DEPUTADO VILMAR GUIMARAES,306,-,CENTRO,75920000,-,-,521930,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-17.814643010351332,-50.60086011886597
6820247,CLINICA DE FISIOTERAPIA E FONOAUDIOLOGIA ESPECIALIZADA LTDA,CLIFF FISIOTERAPIA E FONOAUDIOLOGIA,RUA JOSE LUIZ DE MEDEIROS,825,QD 23 LT 04,OLEGARIO PINTO,75691000,(64) 3454-2632,-,520450,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-17.744,-48.626
2442248,CLINICA DE FISIOTERAPIA E ORTOPEDIA LTDA,CLINICA MONTEBELENSE SAO LUIS DE MONTES BELOS,AVENIDA HERMOGENES COELHO,2870,AO LADO PROMED,SETOR BELA VISTA,76100000,64- 36712309,-,522010,NAO,PRIVADO,POLICLINICA,-16.51891559002494,-50.378708839416504
6389503,CLINICA DE FISIOTERAPIA E REABILITACAO FISIO S C,CLINICA DE FISIOTERAPIA E REABILITACAO FISIO S C,AV RUI BARBOSA,813,-,CENTRO,75620000,-,-,521770,NAO,IGNORADO,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),-17.5269976,-49.4473162
5673143,CLINICA DE FISIOTERAPIA E REABILITACAO ITAPACI LTDA,FISIO SAUDE ITAPACI,AV TOCANTINS,S/N,Q 02 L 04,JARDIM AMERICA,76360000,62 - 33611893,josianyfurini@yahoo.com.br,521090,NAO,PRIVADO,CONSULTORIO ISOLADO,-,-
5203481,CLINICA DE FISIOTERAPIA FERREIRA LTDA,CLINICA DE FISIOTERAPIA FISIOCLIN,RUA 20,458,QD 45 LT 18,BAIRRO POPULAR,75901970,-,-,521880,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-17.7811211,-50.9139679
3963837,CLINICA DE FISIOTERAPIA FISIOVIDA S C LTDA,CLINICA DE FISIOTERAPIA FISIOVIDA,RUA COSTA GOMES,187,-,CENTRO,75901050,06436213338,-,521880,NAO,IGNORADO,CLINICA/CENTRO DE ESPECIALIDADE,-17.7892917,-50.917366
4145224,CLINICA DE FISIOTERAPIA HUMANA KA LTDA,HUMANA KA FISIOTERAPIA,R ANTONIO TIZZO,169,QUADRA35 LOTE 09,JARDIM GOIAS,75903418,(64) 9262-4723,-,521880,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-17.795745366289797,-50.92710256576538
5363780,CLINICA DE FISIOTERAPIA LEMOS LTDA,CLINICA DE FISIOTERAPIA REGIONAL,RUA GONCALVES DIAS,S/N,-,JK,76400000,62 33573932,-,522160,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-,-
6679668,CLINICA DE FISIOTERAPIA LOGOFISIO SS,CLINICA DE FISIOTERAPIA LOGOFISIO,RUA CORONEL BENTO DE GODOY SALA 01,S/N,QD01 LT08 PISO 01,CENTRO,75691000,(64) 3455-5232,tatiany_go@hotmail.com,520450,NAO,IGNORADO,CLINICA/CENTRO DE ESPECIALIDADE,-17.742382,-48.6236318
5413370,CLINICA DE FISIOTERAPIA MARTINS SIMOES LTDA,IFA INSTITUTO DE FISIOTERAPIA AVANCADA,AVENIDA ANHANGUERA,581,-,CENTRO,75800061,6436322089,-,521190,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-17.882217,-51.7237399
5517591,CLINICA DE FISIOTERAPIA MENDONCA,CLINICA DE FISIOTERAPIA MENDONCA LTDA,AVENIDA PINHEIRO CHAGAS,600,QD20 LT02,NOVO JUNDIAI,75110580,-,-,520110,NAO,PRIVADO,POLICLINICA,-16.3346289,-48.9430258
3805069,CLINICA DE FISIOTERAPIA MOVIMENTO DE CATALAO LTDA,CLINICA REABILITAR,FARID MIGUEL SAFATLE,227,-,SETOR CENTRAL,75701040,64 34114520,jesio@mbscontabilidade.com.br,520510,NAO,PRIVADO,CONSULTORIO ISOLADO,-18.169814079631436,-47.94855237007141
7590512,CLINICA DE FISIOTERAPIA MULT SPORT LTDA,CLINICA MULT SPORT,SEBASTIAO FERREIRA DE SOUZA,1148,-,CENTRO,75920000,64 36411416,clinicamultspot@hotmail.com,521930,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-17.81715573544468,-50.595645904541016
5252288,CLINICA DE FISIOTERAPIA PIZARRO LTDA,FISIOCLINICA,RUA AFONSO FERREIRA,54,-,CENTRO,75901160,6436131265,-,521880,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-17.7922498,-50.9309166
6301134,CLINICA DE FISIOTERAPIA PLENITUDE,CLINICA PLENITUDE,RUA MARECHAL RONDON,216,SALA A,CENTRAL,76105000,-,-,520780,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-16.577403281799587,-50.30339241027832
2968290,CLINICA DE FISIOTERAPIA REABILITAR LTDA,CLINICA DE FISIOTERAPIA REABILITAR,RUA DOUTOR JOAO TEIXEIRA QD 71A LOTE 15,S/N,-,CENTRO,72800440,61 9611 6216,-,521250,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-16.249430692741722,-47.95276880264282
3439186,CLINICA DE FISIOTERAPIA SANTO ANTONIO LTDA,CLINICA DE FISIOTERAPIA SANTO ANTONIO,AV TIRADENTES,S/N,QUADRA47 LOTE 04,CENTRO,76550000,(62)3621172,k.almeidaesilva@bol.com.br,521800,SIM,PRIVADO CONVENIADO,CLINICA/CENTRO DE ESPECIALIDADE,-13.4392043,-49.1511267
3648664,CLINICA DE FISIOTERAPIA SAO JOSE LTDA,CLINICA DE FISIOTERAPIA SAO JOSE LTDA,PRACA SEBASTIAO XAVIER,260,-,CENTRO,75503230,6434317623,-,521150,SIM,PRIVADO CONVENIADO,CLINICA/CENTRO DE ESPECIALIDADE,-18.4205265,-49.2216830328887
6947182,CLINICA DE FISIOTERAPIA SPACO FISIO LTDA,SPACO FISIO,AV ANA PRIMO,505,QD B LT 1,VILA LEONOR,76630000,62-3375-2066,-,521040,NAO,PRIVADO,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),-16.01760096838903,-49.801025390625
3180298,CLINICA DE FISIOTERAPIA URUACU LTDA,FISIOCLINICA,RUA 04 DE JULHO,S/N,QD 19 LT 01,CENTRO,76400000,(62)3571922,-,522160,SIM,PRIVADO CONVENIADO,CLINICA/CENTRO DE ESPECIALIDADE,-14.524993841878254,-49.140987396240234
6667996,CLINICA DE FONOAUDIOLOGIA DE GOIANIA LTDA,CLINICA DE FONOAUDIOLOGIA,JOAO DE BAREU,116,QD8 LT42E SL1004A,SETOR OESTE,74120110,062 - 32141004,clin_fono_gyn@hotmail.com,520870,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-16.679,-49.254
3648621,CLINICA DE FONOAUDIOLOGIA PAULA ALMEIDA LTDA,CLINICA DE FONOAUDIOLOGIA PAULA ALMEIDA LTDA,RUA DR VALDIVINO VAZ,274,-,CENTRO,75503040,6434315492,-,521150,NAO,PRIVADO,CONSULTORIO ISOLADO,-18.42,-49.218
3012123,CLINICA DE FRATURAS NOVO HORIZONTE LTDA,CLINICA ORTOPEDIA E FISIOTERAPIA GARAVELO,AVENIDA DA LUZ C RUA 106,S/N,QD 41 LT 27,JARDIM TROPICAL,74946550,(62)35886362,-,520140,SIM,PRIVADO CONVENIADO,CLINICA/CENTRO DE ESPECIALIDADE,-16.7817343,-49.3360187
2338459,CLINICA DE FRATURAS NOVO HORIZONTE LTDA,CLINICA DE FRATURAS NOVO HORIZONTE,RUA C 25,340,QD 65A LT 06,ST NOVO HORIZONTE,74363310,62 - 32891838,cfnh@hotmail.com,520870,SIM,PRIVADO CONVENIADO,POLICLINICA,-16.720200097590926,-49.320266246795654
5352576,CLINICA DE GASTROPEDIATRIA E CARDIOLOGIA LTDA,CLINICA DE GASTROPEDIATRIA E CARDIOLOGIA,AVENIDA ISMERINO S CARVALHO,595,SALA 4,AEROPORTO,74075040,(62) 3224-3632,-,520870,NAO,PRIVADO,POLICLINICA,-16.67576995838595,-49.270422756671906
2853248,CLINICA DE GINECOLOGIA E OBSTETRICIA BONTEMPO EIRELI,CLINICA LOTUS,RUA TAPUIAS,S/N,Q 50 L 09,CENTRO,73850000,61 99915-1505,-,520620,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-16.775477,-47.6174899
9299467,CLINICA DE GINECOLOGIA FRANCO E TOMICH LTDA ME,CLINICA DE GINECOLOGIA FRANCO E TOMICH,PRACA DA BANDEIRA,345,-,CENTRO,75503520,(64) 3431-4412,-,521150,NAO,PRIVADO,CONSULTORIO ISOLADO,-18.41714685,-49.2168577572921
7593899,CLINICA DE IMAGEM BUENO LTDA,CLINICA SAO MATHEUS SETOR OESTE,RUA R 1,173,QD 4 LT 1,SETOR OESTE,74125020,62 - 39284200,administracao@clinicasaomatheus.com.br,520870,SIM,PRIVADO CONVENIADO,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),-16.6093592,-49.2523199
2519267,CLINICA DE IMAGEM DE GOIANIA LTDA,CLINICA DA IMAGEM,RUA 9 A,635,-,ST AEROPORTO,74075250,(62) 32121020,clinicadaimagem@hotmail.com,520870,SIM,PRIVADO CONVENIADO,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),-16.676155368875257,-49.27136421203613
6977278,CLINICA DE IMAGEM DE IPAMERI LTDA,CLIMAI,RUA NICOLAU TOLENTINO E SILVA,34,-,NOVO HORIZONTE,75780000,64 3491-1364,-,521010,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-17.7282446,-48.1608411
7319754,CLINICA DE IMAGEM MAE MARIA LTDA,CLINICA MAE MARIA,RUA LEOPOLDO DE BULHOES,1315,-,CENTRO,75400540,-,-,521000,SIM,PRIVADO CONVENIADO,CLINICA/CENTRO DE ESPECIALIDADE,-16.358,-49.496
2857928,CLINICA DE IMAGEM NIVO GAMA LTDA,CLINICA DE IMAGEM NOVOGAMA,QUADRA 501,15,-,PEDREGAL,72860464,-,-,521523,NAO,PRIVADO,POLICLINICA,-16.059,-48.039
7874766,CLINICA DE IMOBILIZACAO ORTOPEDICA LTDA ME,CLINICA DE IMOBILIZACAO ORTOPEDICA,AL ALVORADA,151,QD 08 LT 13,ULYSSES GUIMARAES,75520410,(64) 9249-1551,-,521150,SIM,PRIVADO CONVENIADO,COOPERATIVA OU EMPRESA DE CESSAO DE TRABALHADORES NA SAUDE,-18.42,-49.218
2880725,CLINICA DE IMUNIZACAO PERTUSATTI LTDA,IMUNNE CLINICA DE IMUNIZACAO,PROFESSORA ZENAIDE DE C RORIZ,439,QUADRA36,JUNDIAI,75110790,62 3978-2828,naoinformou@naoinformou.com,520110,NAO,PRIVADO,CENTRO DE IMUNIZACAO,-16.33082426242098,-48.94159376033905
7507887,CLINICA DE INFECTOLOGIA DRA GLEIDE MARTINS LTDA,CLINICA DE INFECTOLOGIA,DR VALDIVINO VAZ,48,-,CENTRO,75503040,-,-,521150,SIM,PRIVADO CONVENIADO,COOPERATIVA OU EMPRESA DE CESSAO DE TRABALHADORES NA SAUDE,-18.42,-49.218
5062608,CLINICA DE INFECTOLOGIA E IMUNIZACOES LTDA,CLIMIPI VACINAS,RUA 147,241,QD 65 LT 16,MARISTA,74170100,(62) 3281-3608,climipivacinas@hotmail.com,520870,NAO,PRIVADO,HOSPITAL/DIA - ISOLADO,-16.69475692481858,-49.26063537597656
3407926,CLINICA DE INFECTOLOGIA LTDA,CLIMIPI CONSULTORIOS,RUA 147,255,QD 65 LT 15,SETOR MARISTA,74170100,6239466470,-,520870,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-16.6963715,-49.2602552
6858635,CLINICA DE INFUSAO REUMATOLOGICA LTDA,CLINICA DE INFUSAO REUMATOLOGICA,AVENIDA PINHEIRO CHAGAS,27,QD11 LT50,JUNDIAI,75110580,-,-,520110,NAO,PRIVADO,POLICLINICA,-16.3332897,-48.9484821
6153240,CLINICA DE MEDICINA DO TRABALHO LTDA,COT MEDICINA OCUPACIONAL,RUA AGENOR DIAMANTINO,156,SALA 101 A 104 TERRE,VILA AMALIA,75906260,6430510698,-,521880,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-17.7953515,-50.9174716
163953,CLINICA DE MEDICINA DO TRAFEGO LTDA,METRAN,AV FLORIANO PEIXOTO,83,-,NOSSA SENHORA DA PIE,76550000,-,rinauria@hotmail.com,521800,NAO,PRIVADO,POLICLINICA,-13.4404707,-49.1475345
7104235,CLINICA DE MEDICINA E PSICOLOGIA LTDA ME,CLINICA DR WALDECIR,RUA JACINTO DA SILVA ROCHA VIDAL,17,-,CENTRO,76400000,62 3357-3955,-,522160,NAO,PRIVADO,CONSULTORIO ISOLADO,-14.523768299391287,-49.14191007614136
3814955,CLINICA DE MEDICINA ESPECIALIZADA DE ITUMBIARA LTDA EPP,CLIMESPI,RUA DR MARIO GUEDES,195,-,CENTRO,75503020,6434046422,climespi2012@hotmail.com,521150,SIM,PRIVADO CONVENIADO,CLINICA/CENTRO DE ESPECIALIDADE,-18.422575406492882,-49.21725869178772
9835660,CLINICA DE OFTALMOLOGIA JARDIM AMERICA LTDA,CLINICA DE OFTALMOLOGIA JARDIM AMERICA,RUA C139,874,QD321 LT12,JARDIM AMERICA,74275070,6234127400,institucional.hmja@gmail.com,520870,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-16.70114886469019,-49.25703048706055
2535416,CLINICA DE OLHOS DE ANAPOLIS LTDA,CLINICA DE OLHOS DE ANAPOLIS,RUA ERNESTO DE OLIVEIRA PINTO,240,-,CENTRO,75020060,(62)33246281,clinicadeolhosanpolis@gmail.com,520110,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-16.3258015,-48.9532025
6398618,CLINICA DE OLHOS DE TRINDADE LTDA,CLINICA DE OLHOS DE TRINDADE,RUA AUGUSTO COSTA,22,-,CENTRO,75388736,-,-,522140,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-16.6566287,-49.4911735
7512929,CLINICA DE OLHOS DRA PATRICIA FERNANDES LTDA,OFTALMED CLINICA E CIRURGIA DE OLHOS DRA PATRICIA,LEOPOLDO DE BULHOES,705,SALA 1,SAO JOAO,75703040,64 34422873,psf8986@hotmail.com,520510,SIM,PRIVADO CONVENIADO,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),-18.165354209603557,-47.94342398643494
4070119,CLINICA DE OLHOS GOIANESIA LTDA,CLINICA DE OLHOS GOIANESIA,R 29,357,-,CENTRO,76380049,-,-,520860,SIM,PRIVADO CONVENIADO,CONSULTORIO ISOLADO,-15.32578540785072,-49.11854267120361
5891183,CLINICA DE OLHOS LM LTDA,CLINICA DE OLHOS DE APARECIDA DE GOIANIA,AVENIDA RIO VERDE,S/N,QD 98 LT 04 LOJA 04,VILA SAO TOMAZ,74980970,62 3281 0011,-,520140,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-16.7398296,-49.2724814
3695417,CLINICA DE OLHOS SANTA TEREZINHA LTDA,CLINICA DE OLHOS SANTA TEREZINHA,DAS MAES,54,-,CENTRO,75020020,-,-,520110,NAO,PRIVADO,POLICLINICA,-16.3237331,-48.9532862
9145494,CLINICA DE OLHOS VISO CENTER LTDA ME,CLINICA DE OLHOS VISO CENTER,JOSE BONIFACIO,350,QUADRA06,VILA REBOUCAS,76270000,62 33731272,cont.araguaia@uol.com.br,521220,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-15.867334,-50.868843
7844611,CLINICA DE ORTODONTIA E RADIOLOGIA DR ANDREY MARQUES CARVALH,CLINICA DE ORTODONTIA DR ANDREY MARQUES CARVALHO,RUA JAVAES,S/N,QD 05 LT 16B,CENTRO,76100000,64 3671 1598,-,522010,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-16.520695062113003,-50.36900997161865
2518945,CLINICA DE ORTOPEDIA E FISIOTERAPIA SAO RAPHAEL LTDA,CLINICA SAO RAPHAEL,RUA C 235,671,QD 134 LT 16,SETOR BUENO,74230015,(62) 32417242,csraphael@yahoo.com.br,520870,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-16.71039727352046,-49.273295402526855
3832341,CLINICA DE ORTOPEDIA E TRAUMATOLOGIA DE ITUMBIARA,COTI,RUA PARANAIBA,710,-,CENTRO,75503160,(64) 3404-7370,-,521150,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-18.9109177,-48.2640839
5254841,CLINICA DE ORTOPEDIA E TRAUMATOLOGIA DE RIO VERDE SS LTDA,CLINICA DE ORTOPEDIA E TRAUMATOLOGIA,RUA AGENOR DIAMANTINO,270,-,VILA AMALIA,75906260,64 3620 4600,-,521880,SIM,IGNORADO,CLINICA/CENTRO DE ESPECIALIDADE,-17.794529719592504,-50.915772914886475
5780799,CLINICA DE OTORRINO NONATO PITALUGA E ASSOCIADOS LTDA,OTOS OTORRINO E AUDIOLOGIA,RUA 1125,337,QD 218 LT 19,MARISTA,74175090,(62) 3941-6707,-,520870,NAO,IGNORADO,CLINICA/CENTRO DE ESPECIALIDADE,-16.706492444442098,-49.261536598205566
6660800,CLINICA DE OTORRINOLARINGOLOGIA E MEDICINA DO SONO,INSTITUTO DO SONO,PRACA DAS MAES,14,SALA 08 10 E 11,CENTRO,75020370,-,-,520110,NAO,PRIVADO,POLICLINICA,-16.3234547,-48.9533682
3940209,CLINICA DE OTORRINOLARINGOLOGIA E MEDICINA DO SONO LTDA ME,INSTITUTO DO SONO,AVENIDA T 5,100,QD 118 LT 04,SETOR BUENO,74230042,62 - 32415214,sonogoiania@sonogoiania.com.br,520870,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-16.719604133149904,-49.26887512207031
9104437,CLINICA DE PEDIATRIA CLINIKIDS EIRELI ME ME,CLINIKIDS,RUA ABEL PEREIRA DE CASTRO,644,SALA 03,CENTRO,75901060,64 3622-2970,-,521880,NAO,IGNORADO,POLICLINICA,-17.7968679,-50.9309673
7894996,CLINICA DE PNEUMOLODIA INFANTIL EIRELI,PNEUMOCLIN,JUCA CANDIDO,15,SALA 09,SETOR CENTRAL,75701020,64 34115369,sabrinaayres@yhoo.com.br,520510,NAO,IGNORADO,CONSULTORIO ISOLADO,-18.170247318077376,-47.95163154602051
3297543,CLINICA DE PNEUMOLOGIA S S,CLARE,AV B,483,QD F1 LT 48,OESTE,74110030,(62) 84177521,-,520870,SIM,IGNORADO,CLINICA/CENTRO DE ESPECIALIDADE,-16.678765862143692,-49.267780780792236
2915782,CLINICA DE PNEUMOLOGIA S S,CLARE,AVENIDA PORTUGAL,1148,QD L29 LT 1 SL 1911C,SETOR MARISTA,74150030,6234143733,clare@clare.com.br,520870,NAO,IGNORADO,CLINICA/CENTRO DE ESPECIALIDADE,-16.6862113,-49.2708968
6404219,CLINICA DE PSICOLOGIA,CLINICA DE PSICOLOGIA,RUA 18,82,SALA 06,CENTRO,76380001,62 33532050,vilmaclautino@yahoo.com.br,520860,NAO,IGNORADO,CONSULTORIO ISOLADO,-15.32530943135811,-49.11558151245117
7793561,CLINICA DE PSICOLOGIA ALVES SILVA LTDA,VITALLIS,TEODORO SAMPAIO,59,-,CENTRO,75780000,64 96087082,ALCIENEPSI205@HOTMAIL.COM,521010,NAO,PRIVADO,CONSULTORIO ISOLADO,-17.724815407900017,-48.15831184387207
6713793,CLINICA DE PSICOLOGIA APLICADA LTDA,CLINAP,RUA 52,427,-,JARDIM GOIAS,74810200,062 - 35410783,mariatereza@clinap.com.br,520870,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-16.791250353470137,-49.35873985290527
7213514,CLINICA DE PSICOLOGIA CEREBRO E MENTE EIRELI ME,CLINICA DE PSICOLOGIA CEREBRO E MENTE,RUA URUGUAI,420,-,JARDIM AMERICA,75513490,(64) 3432-1686,-,521150,SIM,PRIVADO CONVENIADO,CONSULTORIO ISOLADO,-18.4021302,-49.2089526
9922296,CLINICA DE PSICOLOGIA E NEUROPSICOLOGIA VIDDA EIRELI,CLINICA DE PSICOLOGIA E NEUROPSICOLOGIA VIDDA,RUA 16A,50,QD 28A LT 20,SETOR AEROPORTO,74075150,62981993589,assecomnet@hotmail.com,520870,NAO,PRIVADO,CONSULTORIO ISOLADO,-16.650863086738088,-49.4851416349411
3940640,CLINICA DE PSICOLOGIA E PSICOTERAPIA ROSA S LTDA,CLINICA THERAPENEIN CENTRO INTEGRADO,AVENIDA DONA ELVIRA,442,-,SANTA MARIA DE NAZAR,75084150,62 3324 3920 / 3327 1100,-,520110,NAO,PRIVADO,POLICLINICA,-16.3226399,-48.94052
6686761,CLINICA DE PSICOLOGIA EQUILIBRIO LTDA,CLINICA DE PSICOLOGIA EQUILIBRIO,RUA DEODORO VEIGA,40,-,CENTRO,75200000,34612487,-,521740,NAO,PRIVADO,CONSULTORIO ISOLADO,-17.301,-48.28
9492259,CLINICA DE PSICOLOGIA ESSENCIAL EIRELI,ESPACO CLINICO MULTIDISCIPLINAR,SAO FRANCISCO DE ASSIS,1075,QUADRA25,JUNDIAI,75110815,62 92697413,marcotico100@hotmail.com,520110,NAO,PRIVADO,CONSULTORIO ISOLADO,-16.339701890468536,-48.943490982055664
6888771,CLINICA DE PSICOLOGIA LTDA,CLINAP,RUA MINAS GERAIS,S/N,-,CENTRO,76700000,-,-,521400,NAO,PRIVADO,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),-14.7493318,-50.572673
3973204,CLINICA DE PSICOLOGIA MENS SANA LTDA,CLINICA MENS SANA,RAULINA FONSECA PASCHOAL,983,-,CENTRO,75701480,62 4413183,-,520510,NAO,PRIVADO,CONSULTORIO ISOLADO,-18.16695977593714,-47.95009732246399
6473962,CLINICA DE PSICOLOGIA PERSONA LTDA,CLINICA DE PSICOLOGIA PERSONA,RUA PERNAMBUCO,605,-,CENTRO,75650000,64 34135589,-,521380,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-17.732,-49.101
959049,CLINICA DE PSICOLOGIA REFUGIO DA MENTE LTDA,CLINICA DE PSICOLOGIA REFUGIO DA MENTE,AVENIDA AFONSO PENA,326,QD 20 LT 19,SAO JUDAS TADEU,74685020,-,psi.helensantos@outlook.com,520870,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-16.7146875,-49.2968832
3272338,CLINICA DE PSICOLOGIA REMIS LTDA,CLINICA DE PSICOLOGIA REMIS,RUA T02,2267,QD 75 LT 13,BUENO,74215010,(62)30916991,-,520870,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-16.687342212172936,-49.28509175777435
5875102,CLINICA DE PSICOLOGIA TALENTOS HUMANOS LTDA,CLINICA DE PSICOLOGIA TALENTOS HUMANOS,RUA CAMELODROMO,09,QD L LT 07,CENTRO III,76420000,014 (62) 3354 4866,talentoshumanos@turbo.com.br,521460,NAO,PRIVADO,CONSULTORIO ISOLADO,-14.474,-48.46
9062734,CLINICA DE PSICOLOGIA VARGAS GONCALVES LTDA ME,CLINICA CONTATO J V,R 73,S/N,QD 68 LT 08,CENTRO,72930000,62-33361194,janainanvg@hotmail.com,520030,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-16.09213471710513,-48.50372672080994
3902900,CLINICA DE RADIOGRAFIA ODONTOLOGICA LTDA,CRO,RUA ANAPOLIS,36,-,CENTRO,76400000,62 33572733,-,522160,NAO,PRIVADO,POLICLINICA,-14.5232359,-49.1483849
700215,CLINICA DE RADIOLOGIA E LABORATORIO DE ANALISES CLINICAS,CLINICA DE RADIOLOGIA E LABORATORIO DE ANALISES CLINICAS,AVENIDA RIO PRETO,S/N,-,CENTRO,76560000,6233833100,saudealtohorizonte@gmail.com,520055,SIM,PUBLICA MUNICIPAL,CLINICA/CENTRO DE ESPECIALIDADE,-14.194996593932206,-49.339749813079834
9484078,CLINICA DE RADIOLOGIA ODONTOLOGICA GOIANIRA EIRELI,CLINICA DE RADIOLOGIA ODONTOLOGICA,AV JOSE RODRIGUES NAVES,S/N,QD 20 LT 11,PADRE PELAGIO,75360129,-,-,520880,NAO,PRIVADO,CONSULTORIO ISOLADO,-16.50748749144117,-49.42821979522705
7611641,CLINICA DE RADIOLOGIA ODONTOLOGICA RENATO LTDA,CLINICA DE RADIOLOGIA ODONTOLOGICA DR RENATO,JOVELINA TANIA DA ROCHA,79,-,CENTRO,75701015,64 84024560,renatomariano@hotmail.com,520510,NAO,PRIVADO,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),-18.16868765464038,-47.95231819152832
7396236,CLINICA DE RADIOLOGIA ODONTOLOGICA RENATO LTDA ME,CLINICA DE RADIOLOGIA ODONTOLOGICA RENATO,RUA VEREADOR LUIZ DE OLIVEIRA,06,-,CENTRO,75780000,64 3491-2345,-,521010,NAO,PRIVADO,CONSULTORIO ISOLADO,-17.7238216,-48.1630113
6604129,CLINICA DE RADIOLOGIA ORTOPEDICA LTDA ME,CLINICA DE RADIOLOGIA ORTOPEDICA CRO,RUA ROSOLINO FERREIRA GUIMARAES,730,PREDIO VIDAS,CENTRO,75901260,6436111065,rosananog1@hotmail.com,521880,NAO,PRIVADO,POLICLINICA,-17.797563713122933,-50.9286904335022
855219,CLINICA DE RADIOLOGIA SAO DOMINGOS LTDA,RADIOLOGIA SAO DOMINGOS,AVENIDA T2,1941,QD 28 LT 8 10,SETOR BUENO,74215010,62 39452525,-,520870,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-16.680348584804854,-49.27621364593506
2338696,CLINICA DE RAIOX NABYH SALUM LTDA,CLINICA SAO MATHEUS,AV REPUBLICA DO LIBANO,1440,-,SETOR OESTE,74115030,62 - 39284200,-,520870,SIM,PRIVADO CONVENIADO,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),-16.6786319,-49.2676284
2518910,CLINICA DE REPOUSO BOM JESUS LTDA,CLINICA DE REPOUSO BOM JESUS,RUA 74,535,-,CENTRO,74210240,( ),-,520870,NAO,PRIVADO,HOSPITAL ESPECIALIZADO,-16.669248695183832,-49.26200866699219
2338122,CLINICA DE REPOUSO DE GOIANIA LTDA,CLINICA DE REPOUSO DE GOIANIA,RUA R 12,271,QD R14 LT 4,SETOR OESTE,74125140,62 - 32913737,clinicarepousogoiania@gmail.com,520870,NAO,PRIVADO,HOSPITAL ESPECIALIZADO,-16.685692746334706,-49.27393913269043
9587837,CLINICA DE SAUDE OCUPACIONAL EIRELI,S O S SERVICO OCUPACIONAL DE SAUDE,LEOPOLDO DE BULHOES,1315,SALA 1,CENTRO,75400000,62 35111950,-,521000,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-16.358,-49.496
6385958,CLINICA DE SEGURANCA E MED DO TRABALHO DE GOIANIA S S LTDA,CLIPEGO,AV TOCANTINS,872,QD 72 LT 05 E 96,CENTRO,74015010,062-32235277,-,520870,NAO,IGNORADO,CLINICA/CENTRO DE ESPECIALIDADE,-16.672434840517184,-49.26514148712158
