CÓDIGO MEC,NOME_DA_UNIDADE,DEP. ADMINISTRATIVA,CONVÊNIO,LOGRADOURO,BAIRRO,MUNICIPIO,LATITUDE,LONGITUDE,DATA_CRIACAO_UNIDADE,QUANTIDADE_DE_ALUNOS_MATRICULADOS
52112403,CENTRO MUNICIPAL DE EDUCACAO INFANTIL SANTO ANGELO,MUNICIPAL,NÃO POSSUI,RUA ESTADOS UNIDOS                                                                                  ,,ITUMBIARA                                         ,,,30/8/2023,0
52096718,ESCOLA MUNICIPAL DE EDUCAÇÃO INFANTIL EM TEMPO INTEGRAL URSULINO TAVARES LEAO,MUNICIPAL,NÃO POSSUI,RUA 14 A ESQ. A5                                                                                    ,MORADA DO SOL                                     ,CRIXÁS                                            ,-14.526.931.500.000.000,-49.961.610.300.000.000,13/6/2022,0
52005500,COLÉGIO ESTADUAL FRANCISCO MODESTO DA SILVA,ESTADUAL,NÃO POSSUI,AV. TOCANTINS                                                                                       ,CENTRO                                            ,MONTES CLAROS DE GOIÁS                            ,-16.009.845.974.242.000,-51.400.915.624.420.000,8/3/2006,1194
52078825,LAR CRIANCAS PARA JESUS                                               ,MUNICIPAL,NÃO POSSUI,RUA ABEL PEREIRA DE CASTRO                                                                          ,CENTRO                                            ,RIO VERDE                                         ,,,8/3/2006,0
52015343,ESC MUL DAMIÃO BARRETO DOS SANTOS,MUNICIPAL,NÃO POSSUI,RUA  DO COMERCIO                                                                                    ,CENTRO                                            ,IPIRANGA DE GOIÁS                                 ,-15.169.431.149.157.800,-49.667.215.347.290.000,8/3/2006,0
52027422,ESCOLA MUNICIPAL VALDIVINO SILVA FERREIRA                                          ,MUNICIPAL,NÃO POSSUI,RUA FRANCISCO FERREIRA QD 10                                                                        ,VILA FERREIRA                                     ,IPORÁ                                             ,-16.426.844.164.894.000,-51.117.534.041.404.700,8/3/2006,0
52024180,CENTRO DE ENSINO EM PERÍODO INTEGRAL ARY RIBEIRO VALADÃO FILHO,ESTADUAL,NÃO POSSUI,R. BENIGNO PINTO DE FARIA                                                                           ,CENTRO                                            ,ITAGUARU                                          ,-15.761.909.433.858.600,-49.631.155.729.293.800,8/3/2006,191
52040186,ESCOLA REINO NOBRE ,PRIVADA,MUNICIPAL,RUA ROCHA LIMA                                                                                      ,JD SALVADOR                                       ,TRINDADE                                          ,-16.656.360.000.000.000,-49.484.820.000.000.000,8/3/2006,0
52062627,CENTRO DE ENSINO EM PERÍODO INTEGRAL MARTINS BORGES,ESTADUAL,NÃO POSSUI,AV EGIDIO FRANCISCO RODRIGUES                                                                       ,CENTRO                                            ,PIRES DO RIO                                      ,-17.305.655.937.266.200,-48.282.337.188.720.700,24/12/2005,280
52036855,ESCOLA MUNICIPAL ZEVERA ANDREA VECCI,MUNICIPAL,NÃO POSSUI,RUA 1 QD. 06                                                                                        ,CONJUNTO FABIANA                                  ,GOIÂNIA                                           ,,,8/3/2006,0
52057607,ESCOLA MUNICIPAL ALEGRIA DO SABER FIDELINA DE ASSIS,MUNICIPAL,NÃO POSSUI,RUA 04                                                                                              ,CENTRO                                            ,SÃO JOÃO DA PARAÚNA                               ,-16.817.183.859.796.900,-50.410.112.142.562.800,8/3/2006,0
52036677,ESCOLA MUNICIPAL PROFESSOR TRAJANO DE SA GUIMARAES,MUNICIPAL,NÃO POSSUI,AV T 15                                                                                             ,PARQUE AMAZONIA                                   ,GOIÂNIA                                           ,,,8/3/2006,0
52007057,CENTRO DE ENSINO EM PERÍODO INTEGRAL  JOSÉ FELICIANO FERREIRA,ESTADUAL,NÃO POSSUI,RUA BAHIA                                                                                           ,CENTRO                                            ,MARA ROSA                                         ,-14.020.167.628.225.300,-49.177.701.473.236.000,8/3/2006,190
52064433,ESCOLA MUNICIPAL JOAOZINHO E MARIA,MUNICIPAL,NÃO POSSUI,RUA 03                                                                                              ,CENTRO                                            ,ANHANGUERA                                        ,-18.332.236.588.581.900,-48.219.548.472.469.000,8/3/2006,69
52067408,ESC MUL BELA VISTA                                                    ,MUNICIPAL,NÃO POSSUI,GO 302                                                                                              ,CENTRO                                            ,ITAJÁ                                             ,-19.156.792.000.000.000,-51.401.215.000.000.000,8/3/2006,67
52057887,ESC MUL ARTUR GONÇALVES DO PRADO                                      ,MUNICIPAL,NÃO POSSUI,RUA PARAÍBA                                                                                         ,CENTRO                                            ,ÁGUA LIMPA                                        ,-1.804.180.087.000.000.000.000.000,-48.453.400.100.000.000,8/3/2006,125
52060071,COLÉGIO ESTADUAL CORONEL PEDRO NUNES,ESTADUAL,NÃO POSSUI,AV COUTO MAGALHAES                                                                                  ,CENTRO                                            ,MORRINHOS                                         ,-17.731.219.266.101.900,-49.107.613.910.513.000,24/12/2005,726
52093590,ESCOLA MUNICIPAL MARIA RAIMUNDA GOMES DO NASCIMENTO,MUNICIPAL,NÃO POSSUI,AV. TOCANTINS                                                                                       ,CENTRO                                            ,MONTES CLAROS DE GOIÁS                            ,-16.007.988.388.567.900,-51.401.028.277.199.900,,240
52102572,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL ROGERIO RIBEIRO MENDONCA,MUNICIPAL,NÃO POSSUI,RUA VANIAS DANTAS SOARES                                                                            ,,ITUMBIARA                                         ,,,30/8/2023,0
52103315,ESCOLA MUNICIPAL PROFESSORA MARIA BATISTA CAMILO,MUNICIPAL,NÃO POSSUI,AVENIDA DOMINGOS DE OLIVEIRA FRANÇA                                                                 ,Maria dos Anjos,ITARUMÃ                                           ,-18.758.475.000.000.000,-51.344.148.000.000.000,17/5/2018,145
52047318,COLÉGIO ESTADUAL PROFESSORA MARIA PEREIRA VASCONCELOS,ESTADUAL,NÃO POSSUI,RUA 92 QD 256 LOTE A                                                                                ,PQ. ESTRELA DALVA IX                              ,LUZIÂNIA                                          ,-16.155.475.183.455.100,-47.958.465.814.590.400,8/3/2006,1891
52028496,COLÉGIO ESTADUAL MOYSÉS PEREIRA PEIXOTO,ESTADUAL,NÃO POSSUI,RUA 6 ESQ COM RUA IA                                                                                ,VILA OLINDA                                       ,ANICUNS                                           ,-16.460.471.920.925.400,-49.951.980.113.983.100,21/12/2005,370
52082067,ESCOLA MUNICIPAL DE ROSALANDIA,MUNICIPAL,NÃO POSSUI,RUA FRANCISCO JOSE DA MATA                                                                          ,ROSALANDIA,SÃO LUÍS DE MONTES BELOS                          ,,,8/3/2006,0
52049361,ESC MUL SYNVAL ROCHA                                                  ,MUNICIPAL,NÃO POSSUI,RUA 04                                                                                              ,CENTRO                                            ,MIMOSO DE GOIÁS                                   ,-15.058.137.415.432.100,-48.160.328.865.051.200,8/3/2006,0
52094880,ESCOLA MUNICIPAL VIVER E APRENDER,MUNICIPAL,NÃO POSSUI,ASSENTAMENTO PA RIO MARANHÃO                                                                        ,CENTRO                                            ,PLANALTINA                                        ,-15.448.693.353.422.800,-47.608.710.473.868.900,,21
99900053,ESC MUN KELLY SUSAN SANTOS                                            ,MUNICIPAL,NÃO POSSUI,                                                                                                    ,,LUZIÂNIA                                          ,,,8/3/2006,0
52105067,ESCOLA MUNICIPAL INES DIAS DA SILVA,MUNICIPAL,NÃO POSSUI,RUA 308                                                                                             ,,CATALÃO                                           ,,,30/8/2023,0
52059944,CENTRO DE ENSINO EM PERÍODO INTEGRAL ELOI PEREIRA MARTINS,ESTADUAL,NÃO POSSUI,AV. PAULO PEPP                                                                                      ,CENTRO                                            ,JOVIÂNIA                                          ,-17.809.300.798.278.300,-49.618.120.193.481.400,24/12/2005,129
52017320,ESCOLA ESTADUAL LUIZ ALVES MACHADO,ESTADUAL,NÃO POSSUI,AV GOIAS                                                                                            ,CENTRO                                            ,ITAPACI                                           ,-14.953.142.000.000.000,-49.554.804.000.000.000,1/2/2006,412
52055922,COLÉGIO ESTADUAL ANA NASTRE DE MELO,ESTADUAL,NÃO POSSUI,AVENIDA SÃO FELIPE                                                                                  ,NOVO HORIZONTE                                    ,ACREÚNA                                           ,-17.390.110.000.000.000,-50.370.559.000.000.000,8/3/2006,697
52061345,ESCOLA MUNICIPAL JUSTINIANO JOSE MACHADO,MUNICIPAL,NÃO POSSUI,AVENIDA AZARIAS JORGE                                                                               ,CENTRO                                            ,PONTALINA                                         ,-17.304.250.000.000.000,-49.265.410.000.000.000,8/3/2006,340
52095410,CENTRO MUL DE EDUCAÇÃO INFANTIL VALERIA PERILLO,MUNICIPAL,NÃO POSSUI,RUA ARAUJO QD 11 LT 05                                                                              ,ALTO DO BONFIM                                    ,PIRENÓPOLIS                                       ,,,,0
52068544,PRE ESCOLAR JOÃOZINHO E MARIA,MUNICIPAL,NÃO POSSUI,AVENIDA DUQUE DE CAXIAS                                                                             ,CENTRO                                            ,DIVINÓPOLIS DE GOIÁS                              ,-13.291.380.296.445.500,-46.399.166.788.905.900,8/3/2006,127
52006573,ESC MUL BOA ESPERANCA                                                 ,MUNICIPAL,NÃO POSSUI,RUA PEQUI ESQ C/CARAMBOLA                                                                           ,,CAMPINORTE                                        ,,,8/3/2006,0
52059987,ESCOLA MUNICIPAL CLARIMUNDO FLAUZINO DE OLIVEIRA,MUNICIPAL,NÃO POSSUI,AV JOSE CUSTODIO                                                                                    ,VILA CUSTODIO                                     ,JOVIÂNIA                                          ,,,8/3/2006,0
52048390,ESCOLA MUNICIPAL VALPARAIZO I B,MUNICIPAL,NÃO POSSUI,AREA ESPECIAL QUADRA 33                                                                             ,,VALPARAÍSO DE GOIÁS                               ,,,8/3/2006,0
52050866,COLÉGIO ESTADUAL ALBERT EINSTEIN,ESTADUAL,NÃO POSSUI,QUADRA 03 AREA ESPECIAL                                                                             ,SETOR NORTE                                       ,PLANALTINA                                        ,-15.448.054.672.470.500,-47.604.634.165.763.800,8/3/2006,625
52009106,ESC MUL PE VALENTIM RODRIGUES                                         ,MUNICIPAL,NÃO POSSUI,RUA JOAO JERONIMO PEREIRA                                                                           ,JARDIM ATLANTICO                                  ,NIQUELÂNDIA                                       ,-14.458.122.226.260.000,-48.426.484.784.152.900,8/3/2006,586
52041344,ESCOLA MUNICIPAL FAZENDA FAZENDINHA                                                ,MUNICIPAL,NÃO POSSUI,FAZENDA FAZENDINHA                                                                                  ,ZONA RURAL                                        ,GUARANI DE GOIÁS                                  ,-13.940.532.800.542.800,-46.477.158.492.048.600,8/3/2006,30
52078582,ESC MUL KENNEDY                                                       ,MUNICIPAL,NÃO POSSUI,QD 73 LOTES 19/20                                                                                   ,CD JARDIM                                         ,ÁGUAS LINDAS DE GOIÁS                             ,,,8/3/2006,0
52004511,ESCOLA MUNICIPAL SANTA RITA DE CÁSSIA                                  ,MUNICIPAL,NÃO POSSUI,RUA SANTA TEREZINHA                                                                                 ,CENTRO                                            ,SANTA FÉ DE GOIÁS                                 ,-15.770.600.000.000.000,-51.105.598.000.000.000,8/3/2006,223
52039218,COLÉGIO ESTADUAL JOSÉ VALENTE,ESTADUAL,NÃO POSSUI,PRACA SAO BENEDITO                                                                                  ,CENTRO                                            ,NERÓPOLIS                                         ,-16.407.449.992.784.400,-49.222.016.930.580.100,24/12/2005,627
52070018,CENTRO EDUCACIONAL BILÍNGUE DE SURDOS DE GOIÂNIA,PRIVADA,ESTADUAL,RUA 801                                                                                             ,VILA OSVALDO ROSA                                 ,GOIÂNIA                                           ,-16.667.362.677.707.100,-49.234.156.608.581.500,8/3/2006,39
52091490,ESC MUL CLARINDA RODRIGUES DE MELO                                    ,MUNICIPAL,NÃO POSSUI,"AV SENADOR CANEDO, QD 1                                                                             ",ESTRELA DO SUL                                    ,SENADOR CANEDO                                    ,,,8/3/2006,0
52075524,ESCOLA DIREITO DO SABER CECOM,MUNICIPAL,NÃO POSSUI,"RUA 15 ESQ C/54, QD. 2, LT. 16                                                                      ",SETOR SANTOS DUMONT                               ,GOIÂNIA                                           ,,,8/3/2006,0
52089118,ESCOLA MUNICIPAL SEBASTIANA MARIA DE JESUS,MUNICIPAL,NÃO POSSUI,RUA 36 COM RUA 43                                                                                   ,NOVA FLORIDA                                      ,ALEXÂNIA                                          ,-16.088.457.301.392.900,-48.495.788.602.730.000,8/3/2006,199
52061892,ESCOLA MUNICIPAL ANA CÂNDIDA VIEIRA,MUNICIPAL,NÃO POSSUI,ESCOLA MUNICIPAL ANA CÂNDIDA VIERA                                                                  ,ZONA RURAL                                        ,ORIZONA                                           ,-17.033.710.236.642.800,-48.305.329.084.396.400,8/3/2006,91
52108066,ESCOLA MUNICIPAL DE TEMPO INTEGRAL LIVERTINO PEREIRA DE MORAIS,MUNICIPAL,NÃO POSSUI,RUA MARIA JACINTA CÂNDIDA                                                                           ,CENTRO                                            ,PALMINÓPOLIS                                      ,-16.794.913.000.000.000,-50.160.775.000.000.000,10/8/2023,248
52061698,ESCOLA MUNICIPAL HONORATO FERREIRA CUNHA,MUNICIPAL,NÃO POSSUI,POVOADO STA BARBARA                                                                                 ,,VICENTINÓPOLIS                                    ,,,8/3/2006,0
52104400,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL INFANCIA PROTEGIDA,MUNICIPAL,NÃO POSSUI,RUA-02 Q-N RAMAL-B                                                                                  ,,MORRINHOS                                         ,,,30/8/2023,0
52035182,CENTRO DE ENSINO EM PERÍODO INTEGRAL JOAQUIM EDSON DE CAMARGO,ESTADUAL,NÃO POSSUI,RUA SANTIAGO QD. 232                                                                                ,JD NOVO MUNDO                                     ,GOIÂNIA                                           ,-16.665.903.185.485.600,-49.213.685.989.379.800,24/12/2005,246
52092003,ESCOLA FAMÍLIA AGRÍCOLA DE UIRAPURU,PRIVADA,ESTADUAL,"RODOVIA GO 156, KM 29                                                                               ",RURAL,UIRAPURU                                          ,-14.109.468.337.476.100,-50.034.656.524.658.200,6/9/2007,61
52068854,ESC MUL MORADA DOS SONHOS                                             ,MUNICIPAL,NÃO POSSUI,RUA MANOEL CARNEIRO GUIMARAES                                                                       ,CENTRO                                            ,CAÇU                                              ,,,8/3/2006,0
52077888,ESC MUL JARDIM IPE                                                    ,MUNICIPAL,NÃO POSSUI,RUA JI 29                                                                                           ,JD IPE                                            ,APARECIDA DE GOIÂNIA                              ,-16.765.369.805.045.600,-49.336.826.205.253.600,8/3/2006,0
52061752,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GESTÃO COMPARTILHADA MILITARIZADA SÉRGIO CÉZAR MACHADO,MUNICIPAL,NÃO POSSUI,RUA JOSE PEREIRA FAUSTINO                                                                           ,CENTRO                                            ,CRISTIANÓPOLIS                                    ,-17.197.610.000.000.000,-48.704.060.000.000.000,8/3/2006,471
52024695,ESCOLA ESTADUAL DE ARTULÂNDIA,ESTADUAL,NÃO POSSUI,RUA 5 ESQUINA COM A RUA JATOBÁ                                                                      ,CENTRO                                            ,JARAGUÁ                                           ,-15.525.474.930.939.000,-49.232.205.972.074.000,23/12/2005,78
52021408,ESCOLA MUNICIPAL PROFESSORA EDINÊ RODRIGUES GOMES,MUNICIPAL,NÃO POSSUI,RUA ENG. LÚCIO COSTA                                                                                ,SAO JORGE                                         ,ANÁPOLIS                                          ,-16.320.699.953.690.100,-48.963.800.303.079.400,8/3/2006,0
52027333,ESC MUL MANGELO PEDRO BORGES                                          ,MUNICIPAL,NÃO POSSUI,POV CRUZEIRINHO                                                                                     ,,IPORÁ                                             ,,,8/3/2006,0
52012840,ESCOLA MUNICIPAL PROFESSORA ZILMA A. M. DE OLIVEIRA,MUNICIPAL,NÃO POSSUI,AV. DAS INDUSTRIAS                                                                                  ,SETOR TOMAZINHO                                   ,CAMPOS BELOS                                      ,,,8/3/2006,0
52101843,CRECHE MUNICIPAL DONA MARIA PIRES PERILLO,MUNICIPAL,NÃO POSSUI,QUADRA 67 AVENIDA 1B                                                                                ,,ÁGUAS LINDAS DE GOIÁS                             ,,,30/8/2023,0
52083080,NÚCLEO MUNICIPAL DE EDUCAÇÃO INFANTIL VERGILIO PRIMO SILVA              ,MUNICIPAL,NÃO POSSUI,AV SÃO MIGUEL                                                                                       ,ST. BELA VISTA                                    ,DOVERLÂNDIA                                       ,-16.722.101.400.000.000,-52.312.546.200.000.000,8/3/2006,0
52062864,ESC MUL COMECINHO DE VIDA                                             ,MUNICIPAL,NÃO POSSUI,RUA MARIA ROSA                                                                                      ,SANTA CECILIA                                     ,PIRES DO RIO                                      ,,,8/3/2006,0
52099245,CEMEI MARIA SEBASTIANA DA SILVA DONA GURI,MUNICIPAL,NÃO POSSUI,RUA QUERO QUERO                                                                                     ,,SANTA HELENA DE GOIÁS                             ,,,30/8/2023,0
52065952,COLÉGIO ESTADUAL PROFESSOR EDUARDO MANCINI,ESTADUAL,NÃO POSSUI,AVENIDA PANDIA CALOGERAS                                                                            ,CENTRO                                            ,IPAMERI                                           ,-17.725.213.969.326.600,-48.160.414.695.739.700,24/12/2005,879
52058611,ESCOLA MUNICIPAL DONA ABELINA,MUNICIPAL,NÃO POSSUI,RUA 26 QD 23 LT 5                                                                                   ,EST.BOA VISTA                                     ,CALDAS NOVAS                                      ,-17.858.518.676.113.900,-48.395.084.379.007.900,8/3/2006,0
52107043,ESCOLA MUNICIPAL INÁ DE SOUZA MENDONÇA,MUNICIPAL,NÃO POSSUI,RUA ESPORTIVA                                                                                       ,VILA CANAÃ,NIQUELÂNDIA                                       ,1.428.265.000.000.000.000.000,482.735.000.000.000.000.000,27/4/2021,216
52084493,CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL SNAK GOMES DA SILVA                         ,MUNICIPAL,NÃO POSSUI,RUA JK                                                                                              ,CENTRO                                            ,BOM JESUS DE GOIÁS                                ,-18.217.112.265.880.000,-49.735.783.338.546.700,8/3/2006,13
52046346,CENTRO DE ENSINO EM PERÍODO INTEGRAL  PRESIDENTE VARGAS,ESTADUAL,NÃO POSSUI,AV LAGOA FEIA                                                                                       ,FORMOSINHA                                        ,FORMOSA                                           ,-15.550.295.999.999.900,-47.331.650.000.000.000,24/12/2005,262
52106314,CRECHE CANTINHO FELIZ,ESTADUAL,NÃO POSSUI,AV. 24 DE OUTUBRO                                                                                   ,,GOIÂNIA                                           ,,,30/8/2023,0
52121836,CRECHE MUNICIPAL RENASCER,MUNICIPAL,NÃO POSSUI,AVENIDA A                                                                                           ,,HIDROLÂNDIA                                       ,,,30/8/2023,0
52035875,ESCOLA MUNICIPAL AGRIPINA TEIXEIRA MAGALHAES,MUNICIPAL,NÃO POSSUI,RUA SERRA DOURADA                                                                                   ,JARDIM DIAMANTINA                                 ,GOIÂNIA                                           ,,,8/3/2006,0
52041638,ESC MUL QUINTILIANO VIEIRA DE ANDRADE                                 ,MUNICIPAL,NÃO POSSUI,FAZENDA CUPIM                                                                                       ,,IACIARA                                           ,,,8/3/2006,0
52000095,COLÉGIO ESTADUAL DA POLÍCIA MILITAR DE GOIÁS PRUDÊNCIO FERREIRA DE FARIA ,ESTADUAL,NÃO POSSUI,RUA 2008                                                                                            ,SETOR NOVO HORIZONTE                              ,CRIXÁS                                            ,-14.533.144.000.000.000,-49.962.750.000.000.000,26/1/2006,424
52041409,ESC MUL FAZ TINGUI                                                    ,MUNICIPAL,NÃO POSSUI,FAZ TINGUI                                                                                          ,,GUARANI DE GOIÁS                                  ,,,8/3/2006,0
52025390,ESCOLA MUNICIPAL ANA EDITH,MUNICIPAL,NÃO POSSUI,AV. SOLON BATISTA                                                                                   ,CENTRO                                            ,JARAGUÁ                                           ,-15.331.542.000.000.000,-49.117.086.000.000.000,8/3/2006,0
52057313,ESCOLA MUNICIPAL PROFESSOR OVIDIO GOMES DE SOUZA,MUNICIPAL,NÃO POSSUI,RUA ELPIDIO DE PAULA RIBEIRO                                                                        ,CENTRO                                            ,PALMINÓPOLIS                                      ,-16.796.504.748.899.900,-50.166.687.015.374.900,8/3/2006,0
52014398,COLÉGIO ESTADUAL JOAQUIM DE SOUZA FAGUNDES,ESTADUAL,NÃO POSSUI,AV PEDRO ALVARES CABRAL                                                                             ,CENTRO                                            ,TERESINA DE GOIÁS                                 ,-13.779.535.300.000.000,-47.258.012.300.000.000,12/1/2006,328
52188531,ESCOLA MUNICIPAL DE EDUCAÇÃO INTEGRAL VILSON GONÇALVES DE OLIVEIRA,MUNICIPAL,NÃO POSSUI,RUA WP 2                                                                                            ,SETOR WALTER PAULO II,BONFINÓPOLIS                                      ,-16.619.642.698.321.000,-48.975.165.858.865.900,12/4/2010,127
52039617,CENTRO DE ENSINO EM PERÍODO INTEGRAL JOSÉ DAVID SKAF,ESTADUAL,NÃO POSSUI,RUA TUCUNARÉ QUADRA 10 LOTE 10                                                                      ,RESIDENCIAL ARAGUAIA                              ,SENADOR CANEDO                                    ,-16.658.662.089.439.200,-49.159.119.129.180.900,8/3/2006,201
52078787,ESCOLA MUNICIPAL BENEDITO BARBOSA DOS SANTOS                                   ,MUNICIPAL,NÃO POSSUI,AVENIDA LEÔNCIO MOREIRA                                                                             ,CARMO DO CEDRO                                    ,CARMO DO RIO VERDE                                ,-15.426.520.000.000.000,-49.771.600.000.000.000,8/3/2006,57
52094260,ESCOLA MUNICIPAL PROFª ESTELIA NERY DE ALMEIDA MELO,MUNICIPAL,NÃO POSSUI,AV PROFESSOR WELLINGTON DE SOUSA BASTOS                                                             ,PARQUE SÃO PEDRO,IACIARA                                           ,-14.104.071.462.636.400,-46.625.621.035.564.100,,171
52044360,COLÉGIO ESTADUAL JORGE AMADO,ESTADUAL,NÃO POSSUI,SUPER QDA 10 AREA ESPECIAL                                                                          ,CIDADE OCIDENTAL                                  ,CIDADE OCIDENTAL                                  ,-16.112.144.987.862.900,-47.935.017.943.382.200,8/3/2006,856
52039501,ESC MUL WALTER FERREIRA DE CARVALHO                                   ,MUNICIPAL,NÃO POSSUI,RUA JB-11 QUADRA APM 04                                                                             ,CENTRO,SENADOR CANEDO                                    ,-16.682.013.512.686.100,-49.195.468.425.750.700,8/3/2006,0
52026256,COLÉGIO ESTADUAL ANTÔNIO FERREIRA RIOS,ESTADUAL,NÃO POSSUI,RUA LIZANDRO GOMES DE SOUZA                                                                         ,CENTRO                                            ,SÃO FRANCISCO DE GOIÁS                            ,-15.935.186.000.000.000,-49.259.704.999.999.900,23/12/2005,532
52052150,ESCOLA MUNICIPAL GEUZA COSTA ABREU                                     ,MUNICIPAL,NÃO POSSUI,RUA CRISTINANO DE CASTRO                                                                            ,SETOR NORTE                                       ,CAIAPÔNIA                                         ,1.694.936.000.000.000.000.000,5.181.124.000.000.000.000.000,8/3/2006,0
52030903,ESC MUL JARDIM BELA VISTA,MUNICIPAL,NÃO POSSUI,R 27 A QD 6 LT 8                                                                                    ,JARDIM BELA VISTA                                 ,APARECIDA DE GOIÂNIA                              ,,,8/3/2006,0
52069095,COLÉGIO ESTADUAL PROFESSORA HELENA LUZIA RODRIGUES DE QUEIROZ,ESTADUAL,NÃO POSSUI,RUA 5                                                                                               ,JD PLANALTO                                       ,LUZIÂNIA                                          ,-16.313.657.677.285.800,-48.014.808.297.157.200,8/3/2006,477
52039196,ESCOLA MUNICIPAL BENEDITO GOMES DA SILVA                                       ,MUNICIPAL,MUNICIPAL,POVOADO VILA NOVA                                                                                   ,CENTRO                                            ,LEOPOLDO DE BULHÕES                               ,-16.621.326.787.352.600,-48.741.279.244.422.900,8/3/2006,0
52055205,COLÉGIO ESTADUAL ITAGIBA GONZAGA JAYME,ESTADUAL,NÃO POSSUI,RUA RIO VERDE                                                                                       ,CENTRO                                            ,RIO VERDE                                         ,-18.131.842.927.809.100,-50.619.753.599.166.800,8/3/2006,200
52108732,COLÉGIO ESTADUAL PROFESSORA GEIZA MARIA DUTRA DE LIMA SANTOS ,ESTADUAL,NÃO POSSUI,Rua S-11                                                                                            ,CONJ.MORADA DO MORRO                              ,SENADOR CANEDO                                    ,-16.653.707.768.007.600,-49.158.158.898.353.500,12/1/2024,786
52061124,ESCOLA MUNICIPAL DE EDUCAÇÃO ESPECIAL GIOVANA DAFICO DE OLIVEIRA DAHER,MUNICIPAL,NÃO POSSUI,RUA DAS GAMELEIRAS                                                                                  ,VILA CASCALHO                                     ,PIRACANJUBA                                       ,-17.298.447.741.977.000,-49.024.597.641.732.000,8/3/2006,0
52054888,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL ROSALINA BORGES                                    ,MUNICIPAL,NÃO POSSUI,RUA EURICO DASOAR DUTRA                                                                             ,VILA BORGES                                       ,RIO VERDE                                         ,-17.782.561.797.890.800,-50.917.966.961.860.600,8/3/2006,0
52096700,CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL NATANAEL PEREIRA DA SILVA,MUNICIPAL,NÃO POSSUI,Rua Claúdio Pereira Fraga Qdra 37 Lt 20                                                             ,CENTRO                                            ,SANTO ANTÔNIO DA BARRA                            ,-17.557.230.710.037.000,-50.635.165.281.810.000,28/6/2012,177
52121402,CRECHE MUNICIPAL COLANDY DE OLIVEIRA GODOY,MUNICIPAL,NÃO POSSUI,RUA 01                                                                                              ,CENTRO                                            ,PIRES DO RIO                                      ,-17.305.743.004.080.900,-48.288.533.091.545.100,21/2/2014,73
52106284,CENTRO MUNICIPAL DE EDUCACAO INFANTIL PROFESSOR NION ALBERNAZ,MUNICIPAL,NÃO POSSUI,RUA C 234                                                                                           ,,GOIÂNIA                                           ,,,30/8/2023,0
52030881,CENTRO DE ENSINO EM PERÍODO INTEGRAL IRMÃ ANGELICA,ESTADUAL,NÃO POSSUI,AV INDEPENDENCIA                                                                                    ,JARDIM MONTE CRISTO                               ,APARECIDA DE GOIÂNIA                              ,-16.823.581.957.732.500,-49.270.366.430.282.600,8/3/2006,835
52055655,ESCOLA MUNICIPAL MILITARIZADA DE ENSINO FUNDAMENTAL ANTÔNIO GOUVÊIA DE MORAES,MUNICIPAL,NÃO POSSUI,RUA DO COMERCIO                                                                                     ,CENTRO                                            ,SANTO ANTÔNIO DA BARRA                            ,-17.561.842.032.733.900,-50.638.870.083.013.000,8/3/2006,239
52091872,ESC MUL DE EDUCACAO INFANTIL,MUNICIPAL,NÃO POSSUI,RUA 07 DE SETEMBRO                                                                                  ,,BELA VISTA DE GOIÁS                               ,,,,0
52080390,CENTRO DE ENSINO EM PERÍODO INTEGRAL ARCO-ÍRIS,ESTADUAL,NÃO POSSUI,AV DOM FERNANDO                                                                                     ,CHAC DO GOVERNADOR                                ,GOIÂNIA                                           ,-16.728.224.885.662.800,-49.222.086.668.014.500,8/3/2006,1357
52002705,ESCOLA MUNICIPAL DE TEMPO INTEGRAL MESTRE NHOLA,MUNICIPAL,NÃO POSSUI,RUA ARAGUARI                                                                                        ,CENTRO                                            ,GOIÁS                                             ,-15.936.629.367.078.000,-50.143.401.063.577.900,23/12/2005,0
52043282,ESC MUL CARDOSO,MUNICIPAL,NÃO POSSUI,FAZ CARDOSO                                                                                         ,,ABADIÂNIA                                         ,,,8/3/2006,0
52060993,CENTRO DE ENSINO EM PERÍODO INTEGRAL RUY BRASIL CAVALCANTE,ESTADUAL,NÃO POSSUI,PRACA DIMAS COSTA                                                                                   ,CENTRO                                            ,PIRACANJUBA                                       ,-17.303.253.901.240.000,-49.017.847.180.366.500,24/12/2005,325
52054810,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL PROFESSOR FRANCISCO JOAQUIM DE PAIVA                         ,MUNICIPAL,MUNICIPAL,RUA DO CEDRO                                                                                        ,VILA SERPRO                                       ,RIO VERDE                                         ,-17.778.738.350.607.500,-50.944.587.048.143.100,8/3/2006,0
52037169,ESC MUL PROFESSORA DEUSHAYDES RODRIGUES DEOLIVEIRA,MUNICIPAL,NÃO POSSUI,RUA CP 26                                                                                           ,CELINA PARK                                       ,GOIÂNIA                                           ,,,8/3/2006,0
52064352,ESC PAULO VI                                                          ,MUNICIPAL,NÃO POSSUI,R SAO JOAO BATISTA                                                                                  ,VILA SAO VICENTE                                  ,VIANÓPOLIS                                        ,,,8/3/2006,0
